MaxCD,TN,TP,Precip
277333.3333,4.6,118.6,0.290697875
8714723.769,3.466666667,94.55555556,-0.922392495
2393493.383,2.8,98.75,-1.505267624
186984.4145,5.15,31.4,0.497810865
2614925.205,2.677142857,114.175,0.616161145
5940343.671,1.519678571,30.2,1.852921571
403.283,4.015,68.75,0.086543642
2.4,13.37833333,23,1.2522939
14461.806,7.853333333,158.75,1.773035132
6745,1.555,5,-0.627332968
3094.871795,4.534285714,5,-1.081976681
15475.476,2.74,13.66666667,-0.725294873
33817.727,1.179161111,99.88888889,-0.162641881
25032.467,1.874555556,25.33333333,0.457783517
41737.144,4.411818182,188,-0.250556411
123446.4,2.431818182,10.3,-0.617285593
7556.266667,,5.833333333,-0.255580098
2038.461,,16.25,-0.210366911
15802.906,,1.925,-0.778043591
146969.1795,,23.89230769,1.246502444
15428.57143,,30.5,1.181194508
63199.07407,,10.25,-1.619511236
2823423.83,,7.7,0.54067436
787281.252,,21.41666667,2.231145181
572727.246,,12,-1.458753238
463459.0851,,30.8,0.510532235
1394779.657,,45.4,0.131243834
9499.843945,,24,-0.0948221
268000,,50,-0.562025032
9716.170213,,89.66666667,-1.458753238
7148.076923,,5,-0.677569842
25791.43,,5,1.083232603
29638.469,,15,-0.02700232
5543.999,,130,0.143803053
8894.007,,75,-1.235199147
14217.38227,,1025,0.518067766
31371.54639,,162,-0.536906594
57073,,207.3333333,2.48735324
53024.791,,104.0714286,0.837071918
90806.58538,,34.23809524,-0.077239194
55698.82353,,114,1.08825629
261051.7544,,19.55555556,1.490562332
4195412.249,,78.55555556,-0.183181635
463806.649,,45.22727273,-0.338936244
393856.4813,,111.9090909,-0.08428982
2982220.061,,,-0.751809571
5320729.42,,,0.5461455
1668.705282,,,-0.786421706
51040,,,0.963963417
33826.66667,,,-1.288297666
13406.43564,,,0.345889574
42653.388,,,1.235915908
31645.454,,,0.617842065
39080.459,,,-1.938511349
10765.44,,,-0.28207345
15729.99867,,,-0.600999553
42471.28713,,,-1.570139339
43400,,,0.504116478
50321.046,,,0.036852653
45240.00814,,,-0.091706706
47229.52295,,,0.734039948
195379.7753,,,-1.177044375
164772.7273,,,-0.957010087
526985.2288,,,1.458422492
344742.0876,,,-0.178237044
418561.6716,,,-1.47866441
2705109.375,,,-1.028706652
1136676.019,,,1.540008239
3303.433642,,,-0.11642966
29900,,,1.574620374
2119.417476,,,1.527646762
3243.665158,,,-0.101595888
3942.695,,,0.378029414
6094.848,,,-1.393285729
4604.377,,,0.323043668
4341.068953,,,0.462533336
4484.808081,,,-0.304659839
8238.4,,,-1.860272879
1878.71,,,0.301816979
8392.28143,,,-0.459311428
30293.23827,,,-1.302314206
152738.4021,,,0.183554
91747.44318,,,-0.222785469
529262.6106,,,-0.765582221
104429.5487,,,0.39885327
483904.8125,,,-1.299281822
2200424.042,,,1.166046446
1413638.838,,,1.059913003
1209.01203,,,-0.11968441
6024.564677,,,-0.195494012
11316.873,,,-0.250076926
2733.283358,,,0.881002341
1807.919799,,,0.380658966
2092.932,,,-0.923266194
4364.95,,,0.11684155
2345.639,,,1.905948164
1113.21,,,-1.793560429
362.4772,,,0.165359695
10180.8,,,-0.926298578
7298.15,,,1.460187703
14670.89,,,-0.562412487
21055.51785,,,2.151571276
43463.00654,,,1.123593068
38449.81132,,,-0.140911098
12167.83854,,,0.438274263
242895,,,-0.283198246
111482.918,,,-0.385295468
36262.20615,,,0.745066631
